State_Name,District_Name,Crop_Year,Season,Crop,Temperature,humidity,soil moisture, area,Production
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,37,42,55,300,400
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,36,40,54,600,200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,34,45,52,2300,4700
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),34,55,62,11500,7200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,35,50,59,298400,921400
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,25,55,55,1900,300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,36,35,45,3900,3000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Arhar/Tur,37,40,46,200,200
Andhra Pradesh,GUNTUR,2001,Rabi       ,Bajra,36,41,50,200,200
Andhra Pradesh,GUNTUR,2001,Rabi       ,Dry chillies,37,42,55,400,900
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,36,40,54,1400,2700
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,34,45,52,5900,9300
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,34,55,62,800,1000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,35,50,59,2800,14100
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),25,55,55,5000,2000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,36,35,45,29100,99900
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,37,40,46,6000,2700
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,36,41,50,127100,107400
Andhra Pradesh,GUNTUR,2001,Rabi       ,Varagu,37,42,55,100,100
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sugarcane,36,40,54,2100,150300
Andhra Pradesh,GUNTUR,2001,Whole Year ,Tobacco,34,45,52,9900,13600
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,34,55,62,142,159
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,35,50,59,1431,124
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),25,55,55,139425,252605
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,36,35,45,545,529
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,37,40,46,262,67
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,36,41,50,3853,10946
Andhra Pradesh,GUNTUR,2001,Kharif     ,Masoor,37,42,55,36964,21439
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),36,40,54,12144,8622
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,34,45,52,302886,969414
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,34,55,62,12093,5672
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sunflower,35,50,59,23,8
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,25,55,55,6146,3749
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,36,35,45,868,965
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,37,40,46,3450,7800
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,36,41,50,940,374
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,37,42,55,3755,18178
Andhra Pradesh,GUNTUR,2001,Rabi       ,Masoor,36,40,54,977,567
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),34,45,52,3684,950
Andhra Pradesh,GUNTUR,2001,Rabi       ,Ragi,34,55,62,10,17
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rapeseed &Mustard,35,50,59,850,151
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,25,55,55,14822,53167
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,36,35,45,1545,355
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,37,40,46,136538,114146
Andhra Pradesh,GUNTUR,2001,Whole Year ,Dry chillies,36,41,50,59256,111260
Andhra Pradesh,GUNTUR,2001,Whole Year ,Onion,37,42,55,1593,23110
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sugarcane,36,40,54,2229,182780
Andhra Pradesh,GUNTUR,2001,Whole Year ,Tobacco,34,45,52,8534,16308
Andhra Pradesh,GUNTUR,2001,Kharif     ,Arhar/Tur,34,55,62,42388,16786
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,35,50,59,406,550
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,25,55,55,3720,1038
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),36,35,45,125251,252712
Andhra Pradesh,GUNTUR,2001,Kharif     ,Dry chillies,37,40,46,50294,147965
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,36,41,50,255,278
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,37,42,55,181,67
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,36,40,54,5281,13752
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),34,45,52,20785,14612
Andhra Pradesh,GUNTUR,2001,Kharif     ,Onion,34,55,62,376,5247
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,35,50,59,292899,987363
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,25,55,55,16160,3749
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,36,35,45,9324,550
Andhra Pradesh,GUNTUR,2001,Rabi       ,Arhar/Tur,37,40,46,1115,442
Andhra Pradesh,GUNTUR,2001,Rabi       ,Bajra,36,41,50,31,42
Andhra Pradesh,GUNTUR,2001,Rabi       ,Dry chillies,37,42,55,664,1370
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,36,40,54,1452,3453
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,34,45,52,3984,8956
Andhra Pradesh,GUNTUR,2001,Rabi       ,Horse-gram,34,55,62,6,1
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,35,50,59,718,626
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,25,55,55,4516,24314
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),36,35,45,6920,2318
Andhra Pradesh,GUNTUR,2001,Rabi       ,Onion,37,40,46,816,14792
Andhra Pradesh,GUNTUR,2001,Rabi       ,Ragi,36,41,50,23,42
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rapeseed &Mustard,37,42,55,1331,98
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,36,40,54,12692,49600
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,34,45,52,290,61
Andhra Pradesh,GUNTUR,2001,Rabi       ,Small millets,34,55,62,89,67
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,35,50,59,165179,128840
Andhra Pradesh,GUNTUR,2001,Rabi       ,Varagu,25,55,55,89,67
Andhra Pradesh,GUNTUR,2001,Whole Year ,Banana,36,35,45,7612,141059
Andhra Pradesh,GUNTUR,2001,Whole Year ,Cashewnut,37,40,46,97,21
Andhra Pradesh,GUNTUR,2001,Whole Year ,Coconut ,36,41,50,519,5555550
Andhra Pradesh,GUNTUR,2001,Whole Year ,Coriander,37,42,55,35,26
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sugarcane,36,40,54,1696,135426
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sweet potato,34,45,52,90,2543
Andhra Pradesh,GUNTUR,2001,Whole Year ,Tobacco,34,55,62,2345,
Andhra Pradesh,GUNTUR,2001,Whole Year ,Turmeric,35,50,59,4902,25647
Andhra Pradesh,GUNTUR,2001,Kharif     ,Arhar/Tur,25,55,55,39203,29873
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,36,35,45,77,76
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,37,40,46,3400,1469
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),36,41,50,126285,378112
Andhra Pradesh,GUNTUR,2001,Kharif     ,Dry chillies,37,42,55,51052,203953
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,36,40,54,189,138
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,34,45,52,184,105
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,34,55,62,2549,6814
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),35,50,59,10504,3414
Andhra Pradesh,GUNTUR,2001,Kharif     ,Onion,25,55,55,693,9615
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,36,35,45,272468,935110
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,37,40,46,7695,1293
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,36,41,50,9551,3448
Andhra Pradesh,GUNTUR,2001,Rabi       ,Arhar/Tur,37,42,55,770,587
Andhra Pradesh,GUNTUR,2001,Rabi       ,Bajra,36,40,54,43,43
Andhra Pradesh,GUNTUR,2001,Rabi       ,Dry chillies,34,45,52,515,1036
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,34,55,62,2820,5285
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,35,50,59,5092,12954
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,25,55,55,398,294
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,36,35,45,4369,28281
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),37,40,46,3410,1405
Andhra Pradesh,GUNTUR,2001,Rabi       ,Onion,36,41,50,883,11504
Andhra Pradesh,GUNTUR,2001,Rabi       ,Ragi,37,42,55,8,15
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rapeseed &Mustard,36,40,54,1242,324
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,34,45,52,44917,181060
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,34,55,62,100,25
Andhra Pradesh,GUNTUR,2001,Rabi       ,Small millets,35,50,59,15,12
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,25,55,55,154060,118164
Andhra Pradesh,GUNTUR,2001,Rabi       ,Varagu,36,35,45,15,12
Andhra Pradesh,GUNTUR,2001,Whole Year ,Banana,37,40,46,7967,204939
Andhra Pradesh,GUNTUR,2001,Whole Year ,Cashewnut,36,41,50,150,41
Andhra Pradesh,GUNTUR,2001,Whole Year ,Coconut ,37,42,55,491,5426352
Andhra Pradesh,GUNTUR,2001,Whole Year ,Coriander,36,40,54,115,89
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sugarcane,34,45,52,1700,139080
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sweet potato,34,55,62,55,1544
Andhra Pradesh,GUNTUR,2001,Whole Year ,Tobacco,35,50,59,2857,4480
Andhra Pradesh,GUNTUR,2001,Whole Year ,Turmeric,25,55,55,4266,22964
Andhra Pradesh,GUNTUR,2001,Kharif     ,Arhar/Tur,36,35,45,37456,19290
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,37,40,46,419,356
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,36,41,50,2684,827
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),37,42,55,98628,186813
Andhra Pradesh,GUNTUR,2001,Kharif     ,Dry chillies,36,40,54,58658,118606
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,34,45,52,161,141
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,34,55,62,76,25
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,35,50,59,2327,2255
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),25,55,55,8146,978
Andhra Pradesh,GUNTUR,2001,Kharif     ,Onion,36,35,45,806,9635
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,37,40,46,202953,646811
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,36,41,50,6345,609
Andhra Pradesh,GUNTUR,2001,Kharif     ,Soyabean,37,42,55,2376,0
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sunflower,36,40,54,44,48
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,34,45,52,3217,167
Andhra Pradesh,GUNTUR,2001,Rabi       ,Arhar/Tur,34,55,62,1314,677
Andhra Pradesh,GUNTUR,2001,Rabi       ,Bajra,35,50,59,6,5
Andhra Pradesh,GUNTUR,2001,Rabi       ,Dry chillies,25,55,55,658,1094
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,36,35,45,9847,12909
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,37,40,46,3624,7802
Andhra Pradesh,GUNTUR,2001,Rabi       ,Horse-gram,36,41,50,9,3
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,37,42,55,8638,6928
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,36,40,54,6450,44699
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),34,45,52,5737,1624
Andhra Pradesh,GUNTUR,2001,Rabi       ,Onion,34,55,62,737,13565
Andhra Pradesh,GUNTUR,2001,Rabi       ,other oilseeds,35,50,59,51,63
Andhra Pradesh,GUNTUR,2001,Rabi       ,Ragi,25,55,55,5,7
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rapeseed &Mustard,36,35,45,1279,118
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,37,40,46,2716,7385
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,36,41,50,83,15
Andhra Pradesh,GUNTUR,2001,Rabi       ,Small millets,37,42,55,182,66
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,36,40,54,176210,116827
Andhra Pradesh,GUNTUR,2001,Whole Year ,Banana,34,45,52,6720,151697
Andhra Pradesh,GUNTUR,2001,Whole Year ,Beans & Mutter(Vegetable),34,55,62,466,2348
Andhra Pradesh,GUNTUR,2001,Whole Year ,Bhindi,35,50,59,1644,10018
Andhra Pradesh,GUNTUR,2001,Whole Year ,Bottle Gourd,25,55,55,316,0
Andhra Pradesh,GUNTUR,2001,Whole Year ,Brinjal,36,35,45,1169,23076
Andhra Pradesh,GUNTUR,2001,Whole Year ,Cabbage,37,40,46,162,0
Andhra Pradesh,GUNTUR,2001,Whole Year ,Cashewnut,36,41,50,150,19
Andhra Pradesh,GUNTUR,2001,Whole Year ,Citrus Fruit,37,42,55,2007,8914
Andhra Pradesh,GUNTUR,2001,Whole Year ,Coconut ,36,40,54,399,4488408
Andhra Pradesh,GUNTUR,2001,Whole Year ,Coriander,34,45,52,64,35
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Jowar,36,35,45,310,461
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Lemon,37,40,46,988,3824
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Maize,36,41,50,755,2500
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Mango,37,42,55,15820,191027
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Moong(Green Gram),36,40,54,483,324
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Onion,34,45,52,563,10337
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,other oilseeds,34,55,62,8923,185768
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Papaya,35,50,59,305,24011
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Pome Granet,25,55,55,10,104
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Ragi,36,35,45,406,387
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Rice,37,40,46,226072,681833
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Sapota,36,41,50,244,2041
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Sesamum,37,42,55,436,119
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Small millets,36,40,54,469,260
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Soyabean,34,45,52,11,25
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Sugarcane,34,55,62,12405,1056420
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Tobacco,35,50,59,1007,4578
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Tomato,25,55,55,407,5851
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Turmeric,36,35,45,160,1151
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Urad,37,40,46,2605,2670
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Arhar/Tur,36,41,50,56,47
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Brinjal,37,42,55,974,5897
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Cabbage,36,40,54,23,284
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Cowpea(Lobia),34,45,52,161,181
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Dry chillies,34,55,62,2632,3201
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Gram,35,50,59,97,187
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Groundnut,25,55,55,338,1099
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Horse-gram,36,35,45,86,36
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Jowar,37,40,46,1776,1160
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Maize,36,41,50,12156,98257
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Mesta,37,42,55,52,355
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Moong(Green Gram),36,40,54,16204,5914
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Onion,34,45,52,15,265
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Ragi,34,55,62,6,9
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Rice,35,50,59,168045,881396
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Sesamum,25,55,55,3016,570
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Sunflower,36,35,45,379,365
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Sweet potato,37,40,46,33,364
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Tobacco,36,41,50,3010,13721
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Tomato,37,42,55,628,8509
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Urad,36,40,54,18500,7641
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Coconut ,34,45,52,46865,780162000
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Rice,34,55,62,394117,1563229
Andhra Pradesh,GUNTUR,2001,Kharif     ,Arhar/Tur,35,50,59,28400,14900
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,25,55,55,100,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,36,35,45,1600,300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),37,40,46,162300,432500
Andhra Pradesh,GUNTUR,2001,Kharif     ,Dry chillies,36,41,50,27100,97300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,37,42,55,300,300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,36,40,54,200,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,34,45,52,1700,3100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),34,55,62,7400,2800
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,35,50,59,295000,845300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,25,55,55,400,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Small millets,36,35,45,4000,200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sugarcane,37,40,46,1600,109600
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sunflower,36,41,50,300,200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Tobacco,37,42,55,11400,13200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,36,40,54,7100,1200
Andhra Pradesh,GUNTUR,2001,Rabi       ,Arhar/Tur,34,45,52,1800,1000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Dry chillies,34,55,62,700,1300
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,35,50,59,3000,1500
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,25,55,55,4500,6500
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,36,35,45,2400,3500
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,37,40,46,5000,19000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),36,41,50,7700,3100
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,37,42,55,14500,51800
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,36,40,54,4700,900
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,34,45,52,153000,75400
